,MDA_rank,MDI_rank,SFI_rank,CFI_rank,mean_rank
AMGN_BBP_40_2.0,1543,196,1278,31,762.0
AAPL_OBV,976,466,294,1312,762.0
NVDA_BBU_40_2.0,226,1039,739,1044,762.0
CSCO_DMN_28,1502,357,931,259,762.25
AAPL_HMA_50,1009,818,91,1131,762.25
PYPL_MACDs_24_52_18,660,1377,795,218,762.5
TSLA_SQZ_20_2.0_20_1.5,306,331,718,1695,762.5
SBUX_VWMA_50,351,1145,695,859,762.5
GOOG_DMN_28,128,233,1741,950,763.0
QCOM_ISA_18,1445,877,589,143,763.5
NFLX_DMP_28,1548,395,1042,69,763.5
INTC_OBV,1836,394,446,378,763.5
QQQ_WMA_50,896,944,17,1199,764.0
GILD_BBB_40_2.0,252,510,1696,602,765.0
ADBE_BBB_40_2.0,284,1048,1489,244,766.25
GOOGL_ISA_18,470,969,552,1075,766.5
INTC_ISB_52,742,1584,389,353,767.0
AAPL_volume,238,25,1670,1135,767.0
TXN_close,1811,221,275,764,767.75
COST_RSI_28,225,652,832,1363,768.0
INTC_ISA_18,743,1583,393,354,768.25
CMCSA_BBP_40_2.0,352,503,1161,1060,769.0
INTC_ZS_40,513,1194,1145,225,769.25
BKNG_high,130,639,1811,497,769.25
TXN_BBL_40_2.0,769,1235,380,698,770.5
COST_volume,81,85,1485,1432,770.75
SBUX_ISA_18,700,831,705,848,771.0
TXN_IKS_52,782,1345,272,688,771.75
SBUX_SMA_100,547,1025,653,863,772.0
GOOG_SMA_100,898,1093,109,989,772.25
PYPL_STOCHd_28_6_3,355,1008,1518,210,772.75
INTC_STOCHd_28_6_3,387,946,1408,355,774.0
QCOM_ENTP_20,539,456,1334,768,774.25
SBUX_high,487,1132,698,784,775.25
GOOG_STOCHd_28_6_3,370,866,946,919,775.25
COST_RVI_14,461,189,1067,1386,775.75
GILD_ADOSC_5_17,287,408,1807,601,775.75
NFLX_NVI_255,831,1743,485,55,778.5
GILD_CCI_20_0.015,444,687,1402,583,779.0
CSCO_PSARl_0.02_0.2,723,1213,772,413,780.25
INTC_BBM_40_2.0,762,1524,458,379,780.75
COST_ISA_18,540,956,269,1360,781.25
